"Product name","Product link","Price per piece (₹)","Quantity","Total price (₹)","Running total (₹)"
"Raspberry Pi Pico W","https://robu.in/product/raspberry-pi-pico-w/","614.00","1","614.00","614.00"
"2.2k Ohm 0.5W Metal Film Resistor (Pack of 50)","https://robu.in/product/2-2k-ohm-0-5w-metal-film-resistor-pack-of-50/","0.98","12","11.76","625.76"
"MCP73831T-2ACI/OT Li‑ion Charger IC (SOT‑23‑5)","https://robu.in/product/mcp73831t-2aci-ot-microchip-battery-charger-for-1-cell-of-li-ion-li-pol-battery-6v-input-4-2v-500ma-charge-sot-23-5/","89.00","1","89.00","714.76"
"1N5817 Schottky Rectifier 20V 1A DO‑41","https://robu.in/product/1-month-warranty-1000/","9.00","5","45.00","759.76"
"0.91″ Monochrome OLED Display Panel Blue 14‑pin","https://robu.in/product/0-91-inch-monochrome-oled-display-panel-blue-14pin-2/","106.00","1","106.00","865.76"
"RXEF050 PTC Resettable Fuse 72V 500 mA (Radial)","https://robu.in/product/70-065-63-0-5a-siba-70-065-63-0-5a-fuse-cartridge-fast-acting-500-ma-500-v-6-3mm-x-32mm-1-4-x-1-1-4/","14.00","3","42.00","907.76"
"Electronic Spices 50Pcs 4.7KΩ 1/2W Resistors","https://www.amazon.in/gp/product/B0BDTXKCM3/ref=ox_sc_act_title_1","80.00","1","80.00","987.76"
"Rechargeable Li‑Po Battery 3.7V 800 mAh","https://www.amazon.in/gp/product/B0DTGSWDGP/ref=ox_sc_act_title_2","331.00","1","331.00","1,318.76"
"TRENDYNEST Plate Mounted Stabilizers 3×2U","https://www.amazon.in/gp/product/B0FRN1CF4Q/ref=ox_sc_act_title_3","862.00","1","862.00","2,180.76"
"Rpi shop M3×16mm CSK Allen Screws (10 pcs)","https://www.amazon.in/gp/product/B07XM7YMC9/ref=ox_sc_act_title_4","168.00","1","168.00","2,348.76"
"Electronic Spices 5 pcs 3×7 cm Universal PCB","https://www.amazon.in/gp/product/B0B8NGQQ9C/ref=ox_sc_act_title_5","172.00","1","172.00","2,520.76"
"100PCS A7 SMD Diode 1A 1000V SOD‑123 (1N4007)","https://www.amazon.in/gp/product/B09VK9966W/ref=ox_sc_act_title_6","100.00","1","100.00","2,620.76"
"CentIoT EC11 10K Rotary Encoder (2 pcs)","https://www.amazon.in/gp/product/B0888RWNM1/ref=ox_sc_act_title_7","172.00","1","172.00","2,792.76"
"Milk & Honey MOA PBT Keycaps","https://curiositycaps.in/products/honey-milk-moa-pbt-keycaps?variant=51748170924313","2,200","1","2,200","2,992.76"